RD_NO,PERSON_TYPE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,SAFETY_EQUIPMENT,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT VALUE,CELL_PHONE_USE
411771,0,30,1,2,0,1,12,3,0,0,0,17,17,1,6,0,1,0,0,200,200
411771,0,30,1,2,0,1,12,3,0,0,0,17,17,0,6,0,0,0,0,200,200
411777,0,20,0,0,0,1,0,5,0,0,0,20,0,0,6,0,6,0,0,200,200
411777,0,20,0,0,0,1,0,5,0,0,0,20,0,0,200,200,0,200,200,200,200
411779,0,30,1,2,1,1,12,5,0,0,0,12,12,0,7,200,0,0,0,200,200
411779,0,30,1,2,1,1,12,5,0,0,0,12,12,0,6,200,2,0,0,200,200
411780,0,30,2,2,1,1,0,2,0,0,0,5,0,0,200,200,5,200,200,200,200
411780,0,30,2,2,1,1,0,2,0,0,0,5,0,0,6,0,0,0,0,200,200
411786,0,30,2,2,0,1,8,5,0,0,0,0,200,0,7,0,200,0,0,200,200
411786,4,30,2,2,0,1,8,5,0,0,0,0,200,1,5,7,1,200,0,200,200
411791,0,30,0,0,0,1,14,2,0,0,0,0,0,0,7,0,200,200,0,200,200
411791,0,30,0,0,0,1,14,2,0,0,0,0,0,0,6,0,200,0,0,200,200
411799,0,30,0,0,0,1,10,2,0,0,0,16,200,0,6,0,12,200,0,200,200
411799,0,30,0,0,0,1,10,2,0,0,0,16,200,0,6,200,0,200,0,200,200
411806,0,30,1,2,2,1,10,5,0,1,0,18,18,1,5,0,3,0,0,200,200
411806,0,30,1,2,2,1,10,5,0,1,0,18,18,1,200,200,200,200,200,200,200
411811,0,30,1,2,2,1,14,5,0,1,0,6,6,1,6,0,5,0,0,200,200
411811,0,30,1,2,2,1,14,5,0,1,0,6,6,1,6,0,0,0,0,200,200
411818,0,30,0,0,200,3,7,5,0,200,200,0,0,2,200,200,200,200,200,200,200
411819,0,30,1,2,2,1,0,5,0,1,0,25,34,0,200,200,12,200,200,200,200
411819,0,30,1,2,2,1,0,5,0,1,0,25,34,1,6,0,0,0,0,200,200
411819,0,30,1,2,2,1,0,5,0,1,0,25,34,0,6,0,0,0,0,200,200
411819,1,30,1,2,2,1,0,5,0,1,0,25,34,1,3,0,200,200,200,200,200
411845,0,35,0,0,2,1,10,5,0,1,0,18,200,1,8,0,3,0,0,200,200
411845,0,35,0,0,2,1,10,5,0,1,0,18,200,0,6,0,0,0,0,200,200
411846,0,20,0,0,2,1,7,6,0,0,0,0,0,2,200,200,200,200,200,200,200
411848,0,30,2,2,2,1,0,5,0,1,0,17,200,0,7,0,1,12,0,200,200
411848,0,30,2,2,2,1,0,5,0,1,0,17,200,1,200,0,0,0,0,200,200
411859,4,30,1,2,0,1,8,5,0,1,0,6,0,0,4,2,5,0,0,200,200
411859,0,30,1,2,0,1,8,5,0,1,0,6,0,1,6,0,0,0,0,200,200
411859,1,30,1,2,0,1,8,5,0,1,0,6,0,0,200,0,200,200,200,200,200
411861,0,35,2,2,1,1,12,5,0,1,0,22,0,0,5,0,4,0,0,200,200
411861,0,35,2,2,1,1,12,5,0,1,0,22,0,1,5,0,12,0,0,200,200
411861,1,35,2,2,1,1,12,5,0,1,0,22,0,1,5,0,200,200,200,200,200
411861,1,35,2,2,1,1,12,5,0,1,0,22,0,0,0,5,200,200,200,200,200
411861,1,35,2,2,1,1,12,5,0,1,0,22,0,0,0,5,200,200,200,200,200
411861,1,35,2,2,1,1,12,5,0,1,0,22,0,0,2,0,200,200,200,200,200
411861,1,35,2,2,1,1,12,5,0,1,0,22,0,1,1,0,200,200,200,200,200
411862,0,20,0,0,200,2,7,5,0,200,200,0,200,2,200,200,200,200,200,200,200
