RD_NO,PERSON_TYPE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,SAFETY_EQUIPMENT,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT VALUE,CELL_PHONE_USE
39070,0,30,0,0,0,1,12,5,0,0,0,0,0,0,7,0,1,0,0,200,200
39070,0,30,0,0,0,1,12,5,0,0,0,0,0,0,6,0,0,0,0,200,200
44433,0,25,1,2,0,1,12,2,0,0,0,22,21,1,200,0,2,1,0,200,200
44433,0,25,1,2,0,1,12,2,0,0,0,22,21,0,7,2,0,200,0,200,200
44433,1,25,1,2,0,1,12,2,0,0,0,22,21,1,6,2,200,200,200,200,200
142915,0,30,1,2,0,2,12,5,0,0,0,0,0,2,200,200,200,200,200,200,200
142915,0,30,1,2,0,2,12,5,0,0,0,0,0,0,7,200,0,200,0,200,200
142915,0,30,1,2,0,2,12,5,0,0,0,0,0,0,200,200,200,200,200,200,200
142915,1,30,1,2,0,2,12,5,0,0,0,0,0,1,6,0,200,200,200,200,200
142975,0,25,200,200,1,1,12,6,0,200,200,22,22,0,200,200,2,200,200,200,200
142975,0,25,200,200,1,1,12,6,0,200,200,22,22,0,5,200,0,0,0,200,200
145731,0,30,1,2,2,1,12,5,0,1,0,22,21,1,200,200,200,0,0,200,200
145731,0,30,1,2,2,1,12,5,0,1,0,22,21,1,6,200,200,0,0,200,200
146068,0,35,2,2,0,1,0,2,0,0,0,0,0,0,5,0,200,0,0,200,200
146068,0,35,2,2,0,1,0,2,0,0,0,0,0,1,6,0,200,0,0,200,200
149862,0,30,0,0,0,1,7,6,0,0,0,0,0,0,9,0,0,200,0,200,200
152513,0,30,0,0,0,1,10,2,0,0,0,18,200,0,5,0,3,0,0,200,200
152513,0,30,0,0,0,1,10,2,0,0,0,18,200,0,7,0,0,0,0,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,1,6,0,200,200,200,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,1,3,0,200,200,200,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,1,6,0,200,200,200,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,0,3,0,200,200,200,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,0,2,0,200,200,200,200,200
218230,0,30,1,2,0,1,0,5,0,1,0,16,200,1,6,0,200,0,0,200,200
218230,0,30,1,2,0,1,0,5,0,1,0,16,200,1,6,0,200,0,0,200,200
218230,1,30,1,2,0,1,0,5,0,1,0,16,200,1,5,0,200,200,200,200,200
218230,1,30,1,2,0,1,0,5,0,1,0,16,200,1,5,0,200,200,200,200,200
218230,1,30,1,2,0,1,0,5,0,1,0,16,200,1,5,0,200,200,200,200,200
219997,0,30,0,0,0,3,0,5,0,0,200,17,200,0,7,200,0,0,0,200,200
219997,0,30,0,0,0,3,0,5,0,0,200,17,200,1,200,200,0,0,0,200,200
220802,0,30,200,200,0,1,0,200,0,0,200,0,200,1,200,0,200,200,0,200,200
220802,0,30,200,200,0,1,0,200,0,0,200,0,200,1,200,0,0,200,0,200,200
221439,0,30,200,200,0,1,10,200,0,0,0,18,16,1,7,0,3,0,0,200,200
221439,0,30,200,200,0,1,10,200,0,0,0,18,16,0,200,200,0,200,200,200,200
232602,0,30,0,0,0,1,11,5,0,2,12,0,200,1,6,200,200,200,200,200,200
232602,0,30,0,0,0,1,11,5,0,2,12,0,200,0,6,200,12,200,200,200,200
236154,0,30,1,2,0,1,12,3,0,0,0,17,17,1,6,0,4,0,0,200,200
236154,0,30,1,2,0,1,12,3,0,0,0,17,17,0,7,1,0,0,0,200,200
236154,1,30,1,2,0,1,12,3,0,0,0,17,17,0,7,0,200,200,200,200,200
242228,0,30,0,0,2,1,7,4,0,1,0,0,200,1,7,200,12,200,0,200,200
246110,0,25,2,2,0,3,5,5,0,0,0,0,0,2,200,200,200,200,200,200,200
246230,0,30,1,2,0,1,10,5,0,0,0,11,0,1,6,0,3,0,0,200,200
246230,0,30,1,2,0,1,10,5,0,0,0,11,0,0,6,0,0,0,0,200,200
246230,1,30,1,2,0,1,10,5,0,0,0,11,0,1,200,0,200,200,200,200,200
246613,0,30,1,2,0,1,10,8,3,0,0,20,11,0,6,0,6,12,0,200,200
246613,0,30,1,2,0,1,10,8,3,0,0,20,11,0,5,3,0,0,0,200,200
247543,0,30,0,0,0,1,14,5,0,0,0,21,200,0,6,0,7,12,0,200,200
247543,0,30,0,0,0,1,14,5,0,0,0,21,200,0,6,0,12,0,0,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,1,6,200,200,200,200,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,0,200,200,200,200,200,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,0,200,200,200,200,200,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,1,200,200,200,200,200,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,2,200,200,200,200,200,200,200
254951,0,30,0,0,0,1,12,6,0,0,0,0,200,2,200,200,200,200,200,200,200
254951,0,30,0,0,0,1,12,6,0,0,0,0,200,2,200,200,200,200,200,200,200
258322,0,10,0,0,200,200,14,7,0,200,200,0,0,0,7,0,0,200,0,200,200
258322,0,10,0,0,200,200,14,7,0,200,200,0,0,0,5,200,200,200,200,200,200
264273,0,30,0,0,0,1,7,5,0,0,0,16,16,2,200,200,6,200,200,200,200
277763,0,30,1,2,0,1,12,1,0,0,0,22,200,1,200,200,2,200,200,200,200
277763,0,30,1,2,0,1,12,1,0,0,0,22,200,1,6,0,0,0,0,200,200
277763,0,30,1,2,0,1,12,1,0,0,0,22,200,0,6,0,0,0,0,200,200
277763,1,30,1,2,0,1,12,1,0,0,0,22,200,0,200,0,200,200,200,200,200
277763,1,30,1,2,0,1,12,1,0,0,0,22,200,1,200,0,200,200,200,200,200
277763,1,30,1,2,0,1,12,1,0,0,0,22,200,0,200,0,200,200,200,200,200
278809,0,30,2,2,0,1,9,5,0,0,0,5,200,0,8,0,5,0,0,200,200
278809,5,30,2,2,0,1,9,5,0,0,0,5,200,0,2,7,0,200,0,200,200
281802,0,30,0,0,0,1,2,2,0,0,0,14,200,1,7,200,200,200,7,200,200
284615,0,30,2,2,0,1,0,5,0,0,0,17,17,1,6,0,1,12,0,200,200
284615,0,30,2,2,0,1,0,5,0,0,0,17,17,0,6,0,0,0,0,200,200
284615,1,30,2,2,0,1,0,5,0,0,0,17,17,200,200,0,200,200,200,200,200
284615,1,30,2,2,0,1,0,5,0,0,0,17,17,0,6,0,200,200,200,200,200
285830,0,30,0,0,0,1,14,5,0,0,0,33,0,1,6,0,1,1,0,200,200
285830,0,30,0,0,0,1,14,5,0,0,0,33,0,1,5,0,200,12,0,200,200
288691,0,30,1,2,0,1,10,5,0,0,0,0,0,0,6,0,200,0,0,200,200
288691,0,30,1,2,0,1,10,5,0,0,0,0,0,1,6,0,200,0,0,200,200
288691,1,30,1,2,0,1,10,5,0,0,0,0,0,1,6,0,200,200,200,200,200
289176,0,0,1,2,0,1,10,3,0,0,0,18,200,0,200,200,3,200,200,200,200
289176,0,0,1,2,0,1,10,3,0,0,0,18,200,1,6,0,0,0,0,200,200
291127,0,35,1,2,0,3,14,3,0,0,0,21,200,0,7,200,4,200,200,200,200
291127,0,35,1,2,0,3,14,3,0,0,0,21,200,0,5,200,0,0,0,200,200
291127,1,35,1,2,0,3,14,3,0,0,0,21,200,0,200,200,200,200,200,200,200
291127,1,35,1,2,0,3,14,3,0,0,0,21,200,1,200,200,200,200,200,200,200
291127,1,35,1,2,0,3,14,3,0,0,0,21,200,1,200,200,200,200,200,200,200
297303,0,10,200,200,0,1,0,7,0,0,200,20,0,1,5,200,6,200,200,200,200
297303,0,10,200,200,0,1,0,7,0,0,200,20,0,1,6,200,200,200,200,200,200
300656,0,30,1,2,0,1,7,6,0,0,200,20,11,0,200,200,6,200,200,200,200
302055,0,30,0,0,0,1,7,5,0,0,0,0,200,2,200,200,200,200,200,200,200
307486,0,30,0,0,0,1,7,2,0,0,0,0,0,2,200,200,200,200,200,200,200
309229,0,30,1,2,0,1,12,2,0,0,0,22,18,0,5,0,2,0,0,200,200
309229,0,30,1,2,0,1,12,2,0,0,0,22,18,0,6,0,0,0,0,200,200
309229,1,30,1,2,0,1,12,2,0,0,0,22,18,1,6,0,200,200,200,200,200
309432,0,15,0,0,0,1,7,7,0,0,0,27,11,1,9,200,12,0,0,200,200
309432,1,15,0,0,0,1,7,7,0,0,0,27,11,1,5,200,200,200,200,200,200
312015,0,30,0,0,2,3,7,5,0,1,0,0,200,2,200,200,200,200,200,200,200
312751,0,30,2,2,0,1,0,12,0,0,0,32,32,0,6,0,0,0,0,200,200
312751,0,30,2,2,0,1,0,12,0,0,0,32,32,0,6,0,1,0,0,200,200
312751,1,30,2,2,0,1,0,12,0,0,0,32,32,1,200,0,200,200,200,200,200
312751,1,30,2,2,0,1,0,12,0,0,0,32,32,0,200,5,200,200,200,200,200
312868,0,30,2,2,0,1,0,5,0,1,0,17,33,1,6,0,1,12,0,200,200
312868,0,30,2,2,0,1,0,5,0,1,0,17,33,0,6,0,0,0,0,200,200
316007,0,30,2,0,0,3,12,8,1,0,0,21,0,2,200,200,12,200,200,200,200
316007,0,30,2,0,0,3,12,8,1,0,0,21,0,0,8,200,0,0,0,200,200
316012,0,30,1,2,0,3,5,5,0,0,0,0,200,0,6,0,200,200,7,200,200
316014,0,30,0,200,0,3,7,5,0,0,0,0,0,2,200,200,200,200,200,200,200
316036,0,35,1,2,0,3,10,3,0,0,200,18,0,1,5,0,3,0,0,200,200
316036,0,35,1,2,0,3,10,3,0,0,200,18,0,0,5,0,0,0,0,200,200
316036,1,35,1,2,0,3,10,3,0,0,200,18,0,1,5,0,200,200,200,200,200
316052,0,30,1,2,2,3,10,5,0,1,200,16,18,0,7,0,3,0,0,200,200
316052,0,30,1,2,2,3,10,5,0,1,200,16,18,0,4,0,0,200,0,200,200
316055,0,30,0,0,2,3,2,6,0,1,0,0,0,0,7,0,200,0,200,200,200
316055,1,30,0,0,2,3,2,6,0,1,0,0,0,0,200,0,200,200,200,200,200
316066,0,30,1,200,2,3,10,5,0,1,200,0,200,0,5,0,200,200,200,200,200
316066,0,30,1,200,2,3,10,5,0,1,200,0,200,1,4,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,5,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,5,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,5,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,5,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,4,0,200,200,200,200,200
316069,0,40,0,200,2,3,2,3,0,1,200,0,200,2,200,200,200,200,200,200,200
316070,4,30,1,2,2,3,8,2,0,1,0,17,0,0,5,2,1,200,0,200,200
316070,0,30,1,2,2,3,8,2,0,1,0,17,0,0,7,200,0,200,0,200,200
316071,0,30,1,2,2,3,10,2,0,1,200,18,200,0,6,200,3,200,0,200,200
316071,0,30,1,2,2,3,10,2,0,1,200,18,200,0,5,200,0,200,0,200,200
316077,0,30,1,2,2,3,7,5,0,1,0,0,0,2,200,200,200,200,200,200,200
316079,0,30,1,2,2,3,0,2,0,1,200,0,0,0,200,200,200,200,200,200,200
316079,0,30,1,2,2,3,0,2,0,1,200,0,0,0,6,200,200,200,7,200,200
316079,1,30,1,2,2,3,0,2,0,1,200,0,0,1,5,200,200,200,200,200,200
316083,0,30,1,200,200,3,10,5,0,200,200,18,200,2,200,200,3,200,200,200,200
316083,0,30,1,200,200,3,10,5,0,200,200,18,200,1,5,200,0,200,0,200,200
316083,1,30,1,200,200,3,10,5,0,200,200,18,200,0,200,200,200,200,200,200,200
316085,0,30,0,0,2,3,2,3,0,1,0,0,0,0,6,200,0,200,0,200,200
316085,3,30,0,0,2,3,2,3,0,1,0,0,0,200,200,200,200,200,200,200,200
316095,0,10,0,0,2,3,2,7,0,1,0,200,200,1,9,0,200,0,200,200,200
316097,0,35,1,2,2,3,10,5,0,1,0,32,16,1,5,200,1,200,5,0.17,200
316097,0,35,1,2,2,3,10,5,0,1,0,32,16,0,4,200,0,200,0,200,200
316146,0,20,0,0,2,1,7,7,0,0,0,200,200,2,200,200,200,200,200,200,200
316150,0,30,1,2,2,1,14,5,0,1,0,6,25,0,5,0,5,0,0,200,200
316150,0,30,1,2,2,1,14,5,0,1,0,6,25,1,6,0,0,0,0,200,200
316150,1,30,1,2,2,1,14,5,0,1,0,6,25,1,4,0,200,200,200,200,200
316151,0,25,0,0,2,1,10,3,3,1,0,16,200,0,6,0,12,0,0,200,200
316151,0,25,0,0,2,1,10,3,3,1,0,16,200,0,6,0,0,0,0,200,200
316157,0,30,2,2,2,1,12,2,0,1,0,22,22,1,7,0,1,0,0,200,200
316157,0,30,2,2,2,1,12,2,0,1,0,22,22,1,5,0,0,0,0,200,200
316174,0,30,1,2,2,1,14,3,0,1,0,23,0,0,6,0,7,0,0,200,200
316174,0,30,1,2,2,1,14,3,0,1,0,23,0,1,5,0,0,0,0,200,200
316175,0,25,0,0,200,200,2,5,0,200,0,0,0,2,200,200,200,200,200,200,200
316178,0,30,0,0,2,1,2,5,0,1,0,7,9,1,5,0,15,0,0,200,1
316179,0,30,0,0,0,1,7,12,0,0,0,0,0,0,200,200,12,200,200,200,200
316190,5,30,1,2,2,3,9,5,0,1,0,6,34,1,7,7,12,12,0,200,200
316190,0,30,1,2,2,3,9,5,0,1,0,6,34,1,5,0,12,12,0,200,200
316192,0,30,0,0,2,1,7,2,2,1,0,21,0,0,6,200,12,200,0,200,200
316195,0,30,0,0,2,1,10,3,0,1,0,18,200,0,6,0,3,0,0,200,200
316195,0,30,0,0,2,1,10,3,0,1,0,18,200,1,6,0,0,0,0,200,200
316204,0,30,0,0,2,1,10,5,0,1,0,0,0,0,5,200,200,200,200,200,200
316204,0,30,0,0,2,1,10,5,0,1,0,0,0,0,7,0,200,0,0,200,200
316206,0,30,1,2,2,1,10,5,0,1,0,18,34,1,6,0,8,200,200,200,200
316206,0,30,1,2,2,1,10,5,0,1,0,18,34,0,5,0,0,0,0,200,200
316207,0,30,0,0,2,1,12,2,0,1,0,0,0,0,7,0,1,0,0,200,200
316207,0,30,0,0,2,1,12,2,0,1,0,0,0,0,7,0,0,0,0,200,200
316209,0,30,1,2,2,1,14,5,0,1,200,34,200,0,5,0,0,200,0,200,200
316209,0,30,1,2,2,1,14,5,0,1,200,34,200,0,7,0,200,200,0,200,200
316210,0,30,0,0,2,1,10,2,0,1,12,18,200,0,5,0,8,0,0,200,200
316210,0,30,0,0,2,1,10,2,0,1,12,18,200,1,6,0,0,0,0,200,200
316211,0,30,1,2,2,200,9,2,0,1,0,0,0,0,6,0,200,0,0,200,200
316211,5,30,1,2,2,200,9,2,0,1,0,0,0,1,5,7,200,0,0,200,200
316213,0,30,1,2,2,1,8,5,0,1,0,17,22,0,200,200,1,200,200,200,200
316213,4,30,1,2,2,1,8,5,0,1,0,17,22,1,6,3,0,0,0,200,200
316217,0,30,1,2,0,1,9,6,0,1,0,0,0,0,9,0,0,0,0,200,200
316217,5,30,1,2,0,1,9,6,0,1,0,0,0,1,6,7,0,0,0,200,200
316219,0,30,1,2,2,1,10,5,0,1,0,18,16,0,5,0,3,0,0,200,200
316219,0,30,1,2,2,1,10,5,0,1,0,18,16,1,6,0,0,0,0,200,200
316224,0,30,1,2,2,1,9,5,0,1,0,0,0,1,200,200,200,200,200,200,200
316224,5,30,1,2,2,1,9,5,0,1,0,0,0,1,200,7,0,0,0,200,200
316230,0,20,0,0,2,2,7,5,0,200,200,200,200,1,200,200,200,200,200,200,200
316232,0,30,0,0,2,1,2,5,0,1,0,34,34,0,6,0,12,200,0,200,200
316234,0,30,1,2,2,1,10,5,0,1,200,18,34,0,200,200,3,200,200,200,200
316234,0,30,1,2,2,1,10,5,0,1,200,18,34,1,5,0,0,200,0,200,200
316244,0,30,2,2,2,1,0,5,0,1,0,17,34,0,6,0,1,12,0,200,200
316244,0,30,2,2,2,1,0,5,0,1,0,17,34,0,6,0,0,0,0,200,200
316244,1,30,2,2,2,1,0,5,0,1,0,17,34,0,5,0,200,200,200,200,200
316244,1,30,2,2,2,1,0,5,0,1,0,17,34,200,200,0,200,200,200,200,200
316245,0,30,2,2,2,1,14,5,0,1,0,21,200,1,6,200,7,200,200,200,200
316245,0,30,2,2,2,1,14,5,0,1,0,21,200,0,6,0,0,0,0,200,200
316246,0,25,0,0,2,1,12,2,0,1,0,0,200,2,200,200,200,200,200,200,200
316246,0,25,0,0,2,1,12,2,0,1,0,0,200,1,6,0,0,0,0,200,200
316248,0,30,2,2,2,1,0,2,0,1,0,17,0,0,7,0,1,4,0,200,200
316248,0,30,2,2,2,1,0,2,0,1,0,17,0,1,6,0,0,0,0,200,200
316248,1,30,2,2,2,1,0,2,0,1,0,17,0,1,200,200,200,200,200,200,200
316250,0,30,1,2,2,1,0,5,0,1,0,7,7,0,6,0,5,0,0,200,200
316250,0,30,1,2,2,1,0,5,0,1,0,7,7,1,6,0,0,0,0,200,200
316251,0,30,0,0,2,1,11,5,0,1,0,21,200,0,6,0,1,0,0,200,200
316251,0,30,0,0,2,1,11,5,0,1,0,21,200,0,5,0,0,0,0,200,200
316252,0,30,2,2,2,1,0,2,0,1,0,0,0,1,6,200,200,200,0,200,200
316252,0,30,2,2,2,1,0,2,0,1,0,0,0,1,7,200,200,200,0,200,200
316256,0,30,0,0,2,1,10,5,0,1,0,18,18,2,200,200,3,200,200,200,200
316256,0,30,0,0,2,1,10,5,0,1,0,18,18,1,5,0,0,0,0,200,200
316260,0,30,2,2,2,0,0,5,0,1,200,0,34,0,7,0,200,12,0,200,200
316260,0,30,2,2,2,0,0,5,0,1,200,0,34,1,8,0,0,200,0,200,200
316260,1,30,2,2,2,0,0,5,0,1,200,0,34,0,5,0,200,200,200,200,200
316261,0,30,0,0,2,1,12,2,0,1,0,22,200,0,200,200,2,200,200,200,200
316261,0,30,0,0,2,1,12,2,0,1,0,22,200,1,7,0,0,0,0,200,200
316264,0,30,0,0,2,1,12,6,0,1,0,18,18,1,5,0,3,0,0,200,200
316264,0,30,0,0,2,1,12,6,0,1,0,18,18,0,5,0,1,0,0,200,200
316265,0,35,1,2,2,1,10,6,0,1,0,34,8,1,7,0,8,0,0,200,200
316265,0,35,1,2,2,1,10,6,0,1,0,34,8,0,7,0,0,0,0,200,200
316267,0,0,0,0,2,1,10,2,0,1,0,0,34,0,200,200,200,200,200,200,200
316267,0,0,0,0,2,1,10,2,0,1,0,0,34,1,6,200,0,200,0,200,200
316268,0,30,12,2,2,200,2,5,0,200,200,20,20,0,200,200,5,200,200,200,200
316269,0,30,2,2,2,1,10,5,0,1,0,16,200,0,7,200,12,0,0,200,200
316269,0,30,2,2,2,1,10,5,0,1,0,16,200,0,6,0,0,0,0,200,200
316269,1,30,2,2,2,1,10,5,0,1,0,16,200,1,6,0,200,200,200,200,200
316274,0,30,1,2,2,1,10,5,0,0,0,0,0,0,9,0,200,200,0,200,200
316274,0,30,1,2,2,1,10,5,0,0,0,0,0,0,7,0,200,200,0,200,200
316274,0,30,1,2,2,1,10,5,0,0,0,0,0,0,7,0,200,200,0,200,200
316274,1,30,1,2,2,1,10,5,0,0,0,0,0,1,7,0,200,200,200,200,200
316277,0,35,0,0,2,1,7,0,2,1,0,35,11,0,6,0,200,0,0,200,200
316284,0,20,0,0,2,1,10,2,0,1,0,12,0,0,6,0,12,0,0,200,200
316284,0,20,0,0,2,1,10,2,0,1,0,12,0,0,6,0,0,0,0,200,200
316284,1,20,0,0,2,1,10,2,0,1,0,12,0,0,5,0,200,200,200,200,200
316285,0,30,0,0,2,1,7,2,0,1,0,21,34,1,7,200,12,200,0,200,200
316286,0,30,0,0,2,1,0,5,0,1,0,17,200,0,6,0,1,1,0,200,200
316286,0,30,0,0,2,1,0,5,0,1,0,17,200,0,5,0,0,0,0,200,200
316291,0,25,2,2,0,1,0,5,0,0,0,17,200,1,7,0,1,200,0,200,200
316291,0,25,2,2,0,1,0,5,0,0,0,17,200,1,7,0,0,0,0,200,200
316297,0,30,1,2,2,1,14,2,0,1,0,17,0,0,6,0,1,0,0,200,200
316297,0,30,1,2,2,1,14,2,0,1,0,17,0,0,6,0,0,0,0,200,200
316297,1,30,1,2,2,1,14,2,0,1,0,17,0,1,200,200,200,200,200,200,200
316298,0,30,0,0,2,1,10,6,1,1,0,34,8,1,7,0,0,0,0,200,200
316298,0,30,0,0,2,1,10,6,1,1,0,34,8,0,7,0,12,12,0,200,200
316302,0,30,0,0,0,1,7,7,0,0,0,200,200,2,200,200,200,200,200,200,200
316307,0,30,0,0,2,1,7,5,3,1,0,25,200,0,200,200,12,200,200,200,200
316309,0,30,0,0,2,1,4,5,0,1,12,28,200,0,6,200,12,200,0,200,200
316311,0,35,1,2,2,1,10,2,0,1,0,34,15,0,6,0,8,0,0,200,200
316311,0,35,1,2,2,1,10,2,0,1,0,34,15,0,6,0,8,0,0,200,200
316312,0,30,0,0,2,1,10,5,0,1,0,18,16,0,7,0,3,0,0,200,200
316312,0,30,0,0,2,1,10,5,0,1,0,18,16,0,6,0,0,0,7,200,200
316317,0,30,0,0,2,1,14,2,0,1,0,0,0,1,7,0,1,0,0,200,200
316317,0,30,0,0,2,1,14,2,0,1,0,0,0,1,5,0,0,0,0,200,200
316326,0,20,1,2,2,1,10,6,0,1,0,0,0,0,200,200,200,200,200,200,200
316326,0,20,1,2,2,1,10,6,0,1,0,0,0,0,6,0,0,0,0,200,200
316326,1,20,1,2,2,1,10,6,0,1,0,0,0,1,6,0,200,200,200,200,200
316335,0,30,1,1,2,1,10,2,0,1,0,16,200,1,5,200,3,200,0,200,200
316335,0,30,1,1,2,1,10,2,0,1,0,16,200,0,6,200,0,200,0,200,200
316335,0,30,1,1,2,1,10,2,0,1,0,16,200,0,200,200,200,200,200,200,200
316335,1,30,1,1,2,1,10,2,0,1,0,16,200,1,2,200,200,200,200,200,200
316335,1,30,1,1,2,1,10,2,0,1,0,16,200,1,3,200,200,200,200,200,200
316344,0,35,0,0,2,1,12,5,0,1,0,0,0,1,7,200,200,200,200,200,200
316344,0,35,0,0,2,1,12,5,0,1,0,0,0,1,7,0,0,0,0,200,200
316357,0,35,2,2,2,1,0,12,0,1,0,17,17,1,8,0,1,0,0,200,200
316357,0,35,2,2,2,1,0,12,0,1,0,17,17,0,8,0,0,0,0,200,200
316357,0,35,2,2,2,1,0,12,0,1,0,17,17,0,7,0,0,0,0,200,200
316357,1,35,2,2,2,1,0,12,0,1,0,17,17,1,6,0,200,200,200,200,200
316357,1,35,2,2,2,1,0,12,0,1,0,17,17,0,2,0,200,200,200,200,200
316363,0,30,0,0,2,1,12,12,0,1,0,21,22,0,6,0,4,0,0,200,200
316363,0,30,0,0,2,1,12,12,0,1,0,21,22,1,6,0,200,0,0,200,200
316365,0,30,9,4,2,1,4,5,2,1,1,29,34,1,7,200,200,0,0,200,200
316366,0,35,1,2,2,1,10,2,0,1,0,34,15,0,4,0,8,0,0,200,200
316366,0,35,1,2,2,1,10,2,0,1,0,34,15,0,200,200,0,200,200,200,200
316366,1,35,1,2,2,1,10,2,0,1,0,34,15,1,6,0,200,200,200,200,200
316371,0,30,0,0,2,1,10,2,0,1,0,34,200,1,6,0,8,4,0,200,200
316371,0,30,0,0,2,1,10,2,0,1,0,34,200,0,6,0,12,0,0,200,200
316371,0,30,0,0,2,1,10,2,0,1,0,34,200,0,7,0,12,0,0,200,200
316373,0,30,0,0,2,1,0,5,0,1,0,17,17,0,7,7,200,0,0,200,200
316373,0,30,0,0,2,1,0,5,0,1,0,17,17,0,6,200,200,200,200,200,200
316374,0,30,1,2,2,1,10,2,0,0,0,18,200,0,6,200,3,0,0,200,200
316374,0,30,1,2,2,1,10,2,0,0,0,18,200,0,6,0,0,0,0,200,200
316374,1,30,1,2,2,1,10,2,0,0,0,18,200,1,200,200,200,200,200,200,200
316377,0,30,0,0,2,1,7,6,0,0,0,0,0,0,5,0,12,0,0,200,200
316378,0,0,0,0,12,1,7,12,0,0,0,20,200,0,6,1,6,12,0,200,200
316386,0,30,1,2,2,1,14,3,0,1,0,17,0,1,5,0,1,0,0,200,200
316386,0,30,1,2,2,1,14,3,0,1,0,17,0,1,5,0,0,0,0,200,200
316389,0,30,0,0,2,1,7,5,0,200,0,0,16,2,200,200,200,200,200,200,200
316390,0,30,1,2,2,1,10,2,0,1,0,16,200,0,6,0,8,0,0,200,200
316390,0,30,1,2,2,1,10,2,0,1,0,16,200,1,6,0,0,0,0,200,200
316390,1,30,1,2,2,1,10,2,0,1,0,16,200,1,6,0,200,200,200,200,200
316390,1,30,1,2,2,1,10,2,0,1,0,16,200,0,0,5,200,200,200,200,200
316390,1,30,1,2,2,1,10,2,0,1,0,16,200,1,0,5,200,200,200,200,200
316392,0,30,1,2,2,1,14,5,0,1,0,34,200,0,5,200,200,0,0,200,200
316392,0,30,1,2,2,1,14,5,0,1,0,34,200,1,4,200,0,0,0,200,200
316392,1,30,1,2,2,1,14,5,0,1,0,34,200,1,200,200,200,200,200,200,200
316395,0,15,0,0,2,1,2,7,0,1,200,20,200,0,5,0,200,0,0,200,200
316396,0,30,1,2,2,1,14,6,0,1,0,17,200,0,5,0,1,0,0,200,200
316396,0,30,1,2,2,1,14,6,0,1,0,17,200,0,5,0,0,0,0,200,200
316396,1,30,1,2,2,1,14,6,0,1,0,17,200,1,200,0,200,200,200,200,200
316396,1,30,1,2,2,1,14,6,0,1,0,17,200,1,200,0,200,200,200,200,200
316396,1,30,1,2,2,1,14,6,0,1,0,17,200,1,200,0,200,200,200,200,200
316402,0,20,2,2,2,1,14,5,0,1,0,0,0,0,7,0,200,0,0,200,200
316402,0,20,2,2,2,1,14,5,0,1,0,0,0,1,7,0,200,0,0,200,200
316402,1,20,2,2,2,1,14,5,0,1,0,0,0,0,7,0,200,200,200,200,200
316402,1,20,2,2,2,1,14,5,0,1,0,0,0,1,7,1,200,200,200,200,200
316402,1,20,2,2,2,1,14,5,0,1,0,0,0,0,7,1,200,200,200,200,200
316404,0,30,0,0,2,1,2,7,0,0,0,0,200,1,5,200,200,200,0,200,200
316404,3,30,0,0,2,1,2,7,0,0,0,0,200,200,200,200,0,200,200,200,200
316405,0,20,0,0,2,1,12,5,0,1,0,0,0,1,5,200,200,200,200,200,200
316405,0,20,0,0,2,1,12,5,0,1,0,0,0,0,7,0,0,0,0,200,200
316408,0,30,1,2,2,1,11,2,0,1,0,34,200,0,9,0,8,200,0,200,200
316408,0,30,1,2,2,1,11,2,0,1,0,34,200,1,6,7,200,0,0,200,200
316414,0,30,1,2,0,1,12,5,0,1,0,0,0,0,6,0,0,0,0,200,200
316414,0,30,1,2,0,1,12,5,0,1,0,0,0,0,6,0,0,0,0,200,200
316422,0,25,3,5,2,1,2,5,0,1,3,33,20,0,6,1,6,4,0,200,200
316424,0,25,1,2,2,1,9,5,1,1,0,0,0,0,200,200,1,200,200,200,200
316424,5,25,1,2,2,1,9,5,1,1,0,0,0,1,5,7,0,0,0,200,200
316428,0,30,2,2,2,1,14,2,0,1,0,0,0,0,200,200,7,200,200,200,200
316428,0,30,2,2,2,1,14,2,0,1,0,0,0,1,8,200,0,0,0,200,200
